Record_ID,Parking_Lot_ID,Parking_Lot_Name,Date,Time,Day_of_Week,Is_Weekend,Weather,Temperature_C,Holiday,Capacity,Occupied_Spaces,Available_Spaces,Occupancy_Rate,Parking_Status
1,P005,Tech Park,2025-01-01,01:00,Wednesday,No,Foggy,36,No,200,76,124,0.38,Available
2,P005,Tech Park,2025-01-01,02:00,Wednesday,No,Foggy,21,No,300,141,159,0.47,Available
3,P006,Hospital,2025-01-01,03:00,Wednesday,No,Cloudy,18,No,300,117,183,0.39,Available
4,P001,Central Mall,2025-01-01,04:00,Wednesday,No,Foggy,38,No,400,177,223,0.44,Available
5,P008,Bus Station,2025-01-01,05:00,Wednesday,No,Foggy,31,No,120,46,74,0.38,Available
6,P005,Tech Park,2025-01-01,06:00,Wednesday,No,Foggy,26,Yes,120,60,60,0.5,Available
7,P006,Hospital,2025-01-01,07:00,Wednesday,No,Cloudy,19,No,100,26,74,0.26,Available
8,P002,City Center,2025-01-01,08:00,Wednesday,No,Sunny,27,No,350,266,84,0.76,Available
9,P002,City Center,2025-01-01,09:00,Wednesday,No,Sunny,29,No,300,232,68,0.77,Available
10,P006,Hospital,2025-01-01,10:00,Wednesday,No,Rainy,20,No,250,213,37,0.85,Available
11,P001,Central Mall,2025-01-01,11:00,Wednesday,No,Cloudy,32,No,120,50,70,0.42,Available
12,P008,Bus Station,2025-01-01,12:00,Wednesday,No,Sunny,24,No,120,65,55,0.54,Available
13,P003,Railway Station,2025-01-01,13:00,Wednesday,No,Cloudy,21,No,350,174,176,0.5,Available
14,P003,Railway Station,2025-01-01,14:00,Wednesday,No,Cloudy,26,No,150,75,75,0.5,Available
15,P003,Railway Station,2025-01-01,15:00,Wednesday,No,Cloudy,25,Yes,250,94,156,0.38,Available
16,P007,University,2025-01-01,16:00,Wednesday,No,Sunny,18,No,100,28,72,0.28,Available
17,P007,University,2025-01-01,17:00,Wednesday,No,Rainy,22,No,350,298,52,0.85,Available
18,P008,Bus Station,2025-01-01,18:00,Wednesday,No,Foggy,40,No,180,129,51,0.72,Available
19,P008,Bus Station,2025-01-01,19:00,Wednesday,No,Foggy,38,No,150,103,47,0.69,Available
20,P003,Railway Station,2025-01-01,20:00,Wednesday,No,Rainy,19,No,300,231,69,0.77,Available
21,P003,Railway Station,2025-01-01,21:00,Wednesday,No,Foggy,23,No,200,92,108,0.46,Available
22,P004,Airport,2025-01-01,22:00,Wednesday,No,Sunny,29,No,180,77,103,0.43,Available
23,P003,Railway Station,2025-01-01,23:00,Wednesday,No,Cloudy,20,No,400,164,236,0.41,Available
24,P004,Airport,2025-01-02,00:00,Thursday,No,Cloudy,32,No,250,110,140,0.44,Available
25,P003,Railway Station,2025-01-02,01:00,Thursday,No,Foggy,23,No,150,57,93,0.38,Available
26,P005,Tech Park,2025-01-02,02:00,Thursday,No,Sunny,22,No,200,99,101,0.49,Available
27,P002,City Center,2025-01-02,03:00,Thursday,No,Cloudy,33,No,200,95,105,0.47,Available
28,P005,Tech Park,2025-01-02,04:00,Thursday,No,Sunny,31,No,250,94,156,0.38,Available
29,P008,Bus Station,2025-01-02,05:00,Thursday,No,Sunny,35,No,300,145,155,0.48,Available
30,P007,University,2025-01-02,06:00,Thursday,No,Cloudy,39,No,150,54,96,0.36,Available
31,P005,Tech Park,2025-01-02,07:00,Thursday,No,Cloudy,24,No,250,108,142,0.43,Available
32,P005,Tech Park,2025-01-02,08:00,Thursday,No,Cloudy,22,No,100,87,13,0.87,Full
33,P001,Central Mall,2025-01-02,09:00,Thursday,No,Cloudy,20,No,200,173,27,0.86,Available
34,P001,Central Mall,2025-01-02,10:00,Thursday,No,Foggy,40,No,120,89,31,0.74,Available
35,P007,University,2025-01-02,11:00,Thursday,No,Sunny,23,No,100,50,50,0.5,Available
36,P005,Tech Park,2025-01-02,12:00,Thursday,No,Sunny,31,No,400,184,216,0.46,Available
37,P001,Central Mall,2025-01-02,13:00,Thursday,No,Sunny,30,No,120,36,84,0.3,Available
38,P006,Hospital,2025-01-02,14:00,Thursday,No,Cloudy,22,No,150,57,93,0.38,Available
39,P006,Hospital,2025-01-02,15:00,Thursday,No,Rainy,34,No,300,129,171,0.43,Available
40,P002,City Center,2025-01-02,16:00,Thursday,No,Cloudy,35,No,350,138,212,0.39,Available
41,P005,Tech Park,2025-01-02,17:00,Thursday,No,Sunny,18,No,150,138,12,0.92,Full
42,P008,Bus Station,2025-01-02,18:00,Thursday,No,Cloudy,32,No,120,105,15,0.88,Full
43,P001,Central Mall,2025-01-02,19:00,Thursday,No,Foggy,33,No,150,126,24,0.84,Available
44,P004,Airport,2025-01-02,20:00,Thursday,No,Cloudy,38,No,150,102,48,0.68,Available
45,P006,Hospital,2025-01-02,21:00,Thursday,No,Sunny,30,No,180,88,92,0.49,Available
46,P003,Railway Station,2025-01-02,22:00,Thursday,No,Rainy,35,No,350,168,182,0.48,Available
47,P002,City Center,2025-01-02,23:00,Thursday,No,Cloudy,26,No,400,177,223,0.44,Available
48,P004,Airport,2025-01-03,00:00,Friday,No,Sunny,23,No,350,160,190,0.46,Available
49,P005,Tech Park,2025-01-03,01:00,Friday,No,Rainy,27,No,200,102,98,0.51,Available
50,P001,Central Mall,2025-01-03,02:00,Friday,No,Cloudy,19,No,200,105,95,0.53,Available
51,P007,University,2025-01-03,03:00,Friday,No,Cloudy,33,No,300,116,184,0.39,Available
52,P008,Bus Station,2025-01-03,04:00,Friday,No,Foggy,21,No,180,93,87,0.52,Available
53,P002,City Center,2025-01-03,05:00,Friday,No,Rainy,28,Yes,350,176,174,0.5,Available
54,P006,Hospital,2025-01-03,06:00,Friday,No,Cloudy,34,No,120,66,54,0.55,Available
55,P004,Airport,2025-01-03,07:00,Friday,No,Sunny,19,No,120,63,57,0.53,Available
56,P005,Tech Park,2025-01-03,08:00,Friday,No,Sunny,30,No,120,108,12,0.9,Full
57,P006,Hospital,2025-01-03,09:00,Friday,No,Cloudy,36,No,250,208,42,0.83,Available
58,P001,Central Mall,2025-01-03,10:00,Friday,No,Foggy,25,No,300,256,44,0.85,Available
59,P008,Bus Station,2025-01-03,11:00,Friday,No,Rainy,28,No,250,115,135,0.46,Available
60,P004,Airport,2025-01-03,12:00,Friday,No,Sunny,25,No,250,106,144,0.42,Available
61,P005,Tech Park,2025-01-03,13:00,Friday,No,Cloudy,29,No,150,77,73,0.51,Available
62,P005,Tech Park,2025-01-03,14:00,Friday,No,Cloudy,24,No,100,57,43,0.57,Available
63,P006,Hospital,2025-01-03,15:00,Friday,No,Rainy,31,No,400,180,220,0.45,Available
64,P006,Hospital,2025-01-03,16:00,Friday,No,Cloudy,30,No,180,63,117,0.35,Available
65,P001,Central Mall,2025-01-03,17:00,Friday,No,Foggy,19,No,100,60,40,0.6,Available
66,P008,Bus Station,2025-01-03,18:00,Friday,No,Foggy,39,No,180,130,50,0.72,Available
67,P002,City Center,2025-01-03,19:00,Friday,No,Foggy,28,No,250,200,50,0.8,Available
68,P005,Tech Park,2025-01-03,20:00,Friday,No,Sunny,28,Yes,180,124,56,0.69,Available
69,P002,City Center,2025-01-03,21:00,Friday,No,Foggy,20,No,150,75,75,0.5,Available
70,P001,Central Mall,2025-01-03,22:00,Friday,No,Sunny,19,No,180,95,85,0.53,Available
71,P002,City Center,2025-01-03,23:00,Friday,No,Sunny,34,No,150,67,83,0.45,Available
72,P002,City Center,2025-01-04,00:00,Saturday,Yes,Cloudy,18,Yes,400,132,268,0.33,Available
73,P008,Bus Station,2025-01-04,01:00,Saturday,Yes,Foggy,35,No,200,58,142,0.29,Available
